sentiment,count,mean,std,min,25%,50%,75%,max
Extreme Fear,21400.0,5349.7318429906545,22306.8261797751,0.01,282.4825,766.15,2329.9700000000003,1120971.6
Fear,61837.0,7816.109930785775,51914.85924868207,0.0,235.63,735.96,2499.97,3921430.72
Neutral,37686.0,4782.732661465796,37461.883466041334,0.01,175.54,547.655,1994.205,3641180.84
Greed,50303.0,5736.884375086972,30533.41860204098,0.0,184.13,555.0,2100.7,2227114.71
Extreme Greed,39992.0,3112.2515645629123,11061.998402738263,0.0,106.75750000000001,500.05,1882.8375,665771.71
